 DateTime,Rain,PET,EPot,EAct,W,SM,RS,RI,ExcS,ExcI,R
2022/1/1 00:00,0,0.983,0.983,0.098,12.057,0.099,3,1.25,0,0,20.268
2022/1/2 00:00,0,1.16,1.16,0.115,11.942,0.098,1.2,0.938,0,0,10.194
2022/1/3 00:00,0,1.259,1.259,0.124,11.818,0.097,0.48,0.703,0,0,5.642
2022/1/4 00:00,0,0.699,0.699,0.068,11.751,0.097,0.192,0.527,0,0,3.431
2022/1/5 00:00,0,0.764,0.764,0.074,11.677,0.096,0.077,0.396,0,0,2.252
2022/1/6 00:00,0,1.063,1.063,0.102,11.575,0.095,0.031,0.297,0,0,1.561
2022/1/7 00:00,0.895,1.044,1.044,0.014,11.561,0.095,0.012,0.222,0,0,1.12
2022/1/8 00:00,1.224,0.937,0.937,0.937,11.841,0.097,0.005,0.168,0.001,0.006,0.828
2022/1/9 00:00,0,1.225,1.225,0.119,11.722,0.096,0.002,0.126,0,0,0.612
2022/1/10 00:00,0,1.356,1.356,0.131,11.591,0.095,0.001,0.095,0,0,0.456
2022/1/11 00:00,0,0.92,0.92,0.088,11.504,0.095,0,0.071,0,0,0.34
2022/1/12 00:00,0,1.156,1.156,0.109,11.394,0.094,0,0.053,0,0,0.255
2022/1/13 00:00,0,1.444,1.444,0.135,11.259,0.092,0,0.04,0,0,0.191
2022/1/14 00:00,0,1.584,1.584,0.146,11.113,0.091,0,0.03,0,0,0.143
2022/1/15 00:00,0,0.933,0.933,0.085,11.028,0.091,0,0.022,0,0,0.107
2022/1/16 00:00,0,0.88,0.88,0.08,10.948,0.09,0,0.017,0,0,0.08
2022/1/17 00:00,0,0.962,0.962,0.086,10.861,0.089,0,0.013,0,0,0.06
2022/1/18 00:00,0,0.808,0.808,0.072,10.789,0.089,0,0.009,0,0,0.045
2022/1/19 00:00,0,0.086,0.086,0.008,10.782,0.088,0,0.007,0,0,0.034
2022/1/20 00:00,0,0.508,0.508,0.045,10.737,0.088,0,0.005,0,0,0.025
2022/1/21 00:00,0,1.08,1.08,0.095,10.642,0.087,0,0.004,0,0,0.019
2022/1/22 00:00,0,0.945,0.945,0.082,10.559,0.087,0,0.003,0,0,0.014
2022/1/23 00:00,0.115,0.497,0.497,0.033,10.526,0.086,0,0.002,0,0,0.011
2022/1/24 00:00,0,0.54,0.54,0.047,10.48,0.086,0,0.002,0,0,0.008
2022/1/25 00:00,0,1.106,1.106,0.095,10.385,0.085,0,0.001,0,0,0.006
2022/1/26 00:00,0,0.95,0.95,0.081,10.304,0.084,0,0.001,0,0,0.005
2022/1/27 00:00,0,1.45,1.45,0.122,10.181,0.083,0,0.001,0,0,0.003
2022/1/28 00:00,0,1.358,1.358,0.113,10.068,0.082,0,0.001,0,0,0.003
2022/1/29 00:00,0,1.036,1.036,0.085,9.983,0.082,0,0,0,0,0.002
2022/1/30 00:00,0,0.559,0.559,0.046,9.937,0.081,0,0,0,0,0.001
2022/1/31 00:00,0,0.473,0.473,0.038,9.898,0.081,0,0,0,0,0.001
2022/2/1 00:00,0,0.801,0.801,0.065,9.834,0.081,0,0,0,0,0.001
2022/2/2 00:00,0,0.632,0.632,0.051,9.783,0.08,0,0,0,0,0.001
2022/2/3 00:00,0,0.826,0.826,0.066,9.717,0.08,0,0,0,0,0
2022/2/4 00:00,0,1.102,1.102,0.088,9.629,0.079,0,0,0,0,0
2022/2/5 00:00,0,1.203,1.203,0.095,9.534,0.078,0,0,0,0,0
2022/2/6 00:00,0,1.001,1.001,0.078,9.456,0.077,0,0,0,0,0
2022/2/7 00:00,0,1.069,1.069,0.083,9.373,0.077,0,0,0,0,0
2022/2/8 00:00,0,1.103,1.103,0.085,9.289,0.076,0,0,0,0,0
2022/2/9 00:00,0,1.044,1.044,0.079,9.21,0.075,0,0,0,0,0
2022/2/10 00:00,0,0.481,0.481,0.036,9.173,0.075,0,0,0,0,0
2022/2/11 00:00,0,1.256,1.256,0.094,9.079,0.074,0,0,0,0,0
2022/2/12 00:00,1.784,0.916,0.916,0.916,9.931,0.081,0.001,0.003,0.002,0.014,0.023
2022/2/13 00:00,9.665,0.478,0.478,0.478,18.865,0.157,0.014,0.06,0.022,0.23,0.352
2022/2/14 00:00,1.528,0.74,0.74,0.74,19.625,0.163,0.007,0.052,0.002,0.027,0.278
2022/2/15 00:00,0,0.541,0.541,0.088,19.536,0.162,0.003,0.039,0,0,0.198
2022/2/16 00:00,0.26,0.167,0.167,0.167,19.627,0.163,0.001,0.03,0,0.003,0.149
2022/2/17 00:00,0,1.157,1.157,0.188,19.438,0.161,0,0.022,0,0,0.109
2022/2/18 00:00,0,0.928,0.928,0.15,19.289,0.16,0,0.017,0,0,0.081
2022/2/19 00:00,0,0.595,0.595,0.095,19.193,0.159,0,0.013,0,0,0.061
2022/2/20 00:00,0.124,1.125,1.125,0.159,19.034,0.158,0,0.009,0,0,0.045
2022/2/21 00:00,0,1.502,1.502,0.237,18.797,0.156,0,0.007,0,0,0.034
2022/2/22 00:00,0,1.177,1.177,0.183,18.613,0.154,0,0.005,0,0,0.025
2022/2/23 00:00,0,1.057,1.057,0.163,18.45,0.153,0,0.004,0,0,0.019
2022/2/24 00:00,0,1.279,1.279,0.196,18.254,0.151,0,0.003,0,0,0.014
2022/2/25 00:00,0,1.258,1.258,0.19,18.064,0.15,0,0.002,0,0,0.011
2022/2/26 00:00,0,1.049,1.049,0.157,17.907,0.148,0,0.002,0,0,0.008
2022/2/27 00:00,0,1.204,1.204,0.179,17.728,0.147,0,0.001,0,0,0.006
2022/2/28 00:00,0,0.815,0.815,0.12,17.609,0.146,0,0.001,0,0,0.005
2022/3/1 00:00,0,0.597,0.597,0.087,17.522,0.145,0,0.001,0,0,0.003
2022/3/2 00:00,6.403,0.591,0.591,0.591,23.109,0.192,0.008,0.053,0.014,0.21,0.293
2022/3/3 00:00,5.445,1.492,1.492,1.492,26.873,0.224,0.009,0.085,0.009,0.18,0.447
2022/3/4 00:00,2.354,1.595,1.595,1.595,27.593,0.23,0.005,0.073,0.002,0.038,0.371
2022/3/5 00:00,0,0.552,0.552,0.127,27.466,0.229,0.002,0.055,0,0,0.27
2022/3/6 00:00,3.226,1.234,1.234,1.234,29.348,0.245,0.004,0.067,0.005,0.105,0.338
2022/3/7 00:00,1.532,1.29,1.29,1.29,29.576,0.246,0.002,0.054,0.001,0.013,0.265
2022/3/8 00:00,0,1.091,1.091,0.269,29.307,0.244,0.001,0.04,0,0,0.196
2022/3/9 00:00,0,0.27,0.27,0.066,29.241,0.244,0,0.03,0,0,0.146
2022/3/10 00:00,0,0.451,0.451,0.11,29.131,0.243,0,0.023,0,0,0.109
2022/3/11 00:00,0.629,0.521,0.521,0.521,29.234,0.244,0,0.018,0,0.006,0.089
2022/3/12 00:00,0,1.661,1.661,0.404,28.829,0.24,0,0.014,0,0,0.066
2022/3/13 00:00,0,0.893,0.893,0.214,28.615,0.238,0,0.01,0,0,0.05
2022/3/14 00:00,0,0.759,0.759,0.181,28.434,0.237,0,0.008,0,0,0.037
2022/3/15 00:00,7.828,0.163,0.163,0.163,35.619,0.297,0.011,0.121,0.018,0.461,0.63
2022/3/16 00:00,2.596,1.326,1.326,1.326,36.798,0.307,0.006,0.113,0.003,0.088,0.568
2022/3/17 00:00,0.389,0.954,0.954,0.173,36.625,0.306,0.002,0.085,0,0,0.416
2022/3/18 00:00,0,1.145,1.145,0.35,36.275,0.303,0.001,0.064,0,0,0.308
2022/3/19 00:00,0.347,1.858,1.858,0.457,35.818,0.299,0,0.048,0,0,0.229
2022/3/20 00:00,4.306,1.53,1.53,1.53,38.389,0.32,0.004,0.085,0.007,0.198,0.426
2022/3/21 00:00,0,0.755,0.755,0.242,38.147,0.318,0.002,0.064,0,0,0.313
2022/3/22 00:00,0,0.443,0.443,0.141,38.006,0.317,0.001,0.048,0,0,0.232
2022/3/23 00:00,4.051,0.981,0.981,0.981,40.833,0.341,0.005,0.095,0.007,0.235,0.474
2022/3/24 00:00,0.578,0.256,0.256,0.256,41.129,0.343,0.002,0.078,0.001,0.026,0.381
2022/3/25 00:00,0.412,0.319,0.319,0.319,41.214,0.344,0.001,0.06,0,0.007,0.291
2022/3/26 00:00,0,1.391,1.391,0.478,40.735,0.34,0,0.045,0,0,0.217
2022/3/27 00:00,0,1.54,1.54,0.523,40.212,0.335,0,0.034,0,0,0.162
2022/3/28 00:00,0.105,0.742,0.742,0.214,39.998,0.333,0,0.025,0,0,0.121
2022/3/29 00:00,0,0.996,0.996,0.332,39.666,0.331,0,0.019,0,0,0.091
2022/3/30 00:00,0,0.705,0.705,0.233,39.433,0.329,0,0.014,0,0,0.068
2022/3/31 00:00,1.473,0.64,0.64,0.64,40.199,0.335,0.001,0.027,0.002,0.064,0.134
2022/4/1 00:00,0,1.258,1.258,0.422,39.777,0.331,0,0.02,0,0,0.098
